finbif_api_var,translated_var,dwc,superseeded,type,localised
Unit.Interpretations.IndividualCount,abundance_interpreted,individualCountInterpreted,FALSE,integer,FALSE
Unit.AbundanceUnit,abundance_unit,abundanceUnit,FALSE,character,TRUE
Unit.Abundance,abundance_verbatim,verbatimAbundance,FALSE,character,FALSE
Unit.Interpretations.AnnotatedTaxonId,annotated_taxon_id,annotatedTaxonConceptID,FALSE,character,FALSE
Gathering.Conversions.Century,century,century,FALSE,integer,FALSE
Unit.NameAccordingTo,taxon_checklist,taxonChecklist,FALSE,character,FALSE
Document.CollectionID,collection_id,collectionID,FALSE,character,FALSE
Document.Linkings.CollectionQuality,collection_quality,collectionQuality,FALSE,character,FALSE
Taxon.EnglishName,common_name_english,vernacularNameEnglish,FALSE,character,FALSE
Taxon.FinnishName,common_name_finnish,vernacularNameFinnish,FALSE,character,FALSE
Taxon.SwedishName,common_name_swedish,vernacularNameSwedish,FALSE,character,FALSE
Gathering.Interpretations.CoordinateSource,coordinates_source,georeferenceSources,FALSE,character,FALSE
Gathering.Interpretations.CoordinateAccuracy,coordinates_uncertainty_interpreted,coordinateUncertaintyInMetersInterpreted,FALSE,integer,FALSE
Gathering.Interpretations.Country,country_id,countryID,FALSE,character,FALSE
Gathering.Interpretations.CountrySource,country_source,countrySource,FALSE,character,FALSE
Gathering.CountryVerbatim,country_verbatim,verbatimCountry,FALSE,character,FALSE
Document.Created,date_created,documentCreatedDate,FALSE,character,FALSE
Gathering.Date.End,date_end,eventDateEnd,FALSE,character,FALSE
Gathering.Date.Begin,date_start,eventDateStart,FALSE,character,FALSE
Gathering.Conversions.Day,day,day,FALSE,integer,FALSE
Gathering.Conversions.Decade,decade,decade,FALSE,integer,FALSE
Unit.Det,determiner,identifiedBy,FALSE,character,FALSE
Document.DocumentID,document_id,catalogNumber,FALSE,character,FALSE
Document.Quality.Issue.Issue,document_issue,documentIssue,FALSE,character,FALSE
Document.Quality.Issue.Message,document_issue_message,documentIssueRemarks,FALSE,character,FALSE
Document.Quality.Issue.Source,document_issue_source,documentIssueSource,FALSE,character,FALSE
Document.Keywords,document_keywords,documentKeywords,FALSE,character,FALSE
Document.MediaCount,document_media_count,documentAssociatedMediaCount,FALSE,integer,FALSE
Document.Notes,document_notes,documentRemarks,FALSE,character,FALSE
