finbif_api_var,translated_var,dwc,superseeded,type
result.unit.quality.taxon,record_quality,occurrenceQuality,FALSE,character
result.document.linkings.collectionQuality,collection_quality,collectionQuality,FALSE,character
result.unit.taxonVerbatim,formatted_taxon_name,displayTaxonName,FALSE,character
result.unit.abundanceString,abundance_verbatim,verbatimAbundance,FALSE,character
result.gathering.displayDateTime,formatted_date_time,eventDateTimeDisplay,FALSE,character
result.gathering.country,country,country,FALSE,character
result.gathering.biogeographicalProvince,bio_province_interpreted,bioStateProvinceInterpreted,FALSE,character
result.gathering.locality,locality,locality,FALSE,character
result.document.collectionId,collection_name,collectionName,FALSE,character
result.document.documentId,document_id,catalogNumber,FALSE,character
result.gathering.team,team,recordedBy,FALSE,character
taxonomy.vernacular.name,common_name,vernacularName,FALSE,character
result.scientificName,scientific_name_interpreted,scientificNameInterpreted,FALSE,character
taxonVerbatim,reported_name,verbatimIdentification,FALSE,character
result.taxonomicOrder,taxonomic_order,taxonTaxonomicOrder,FALSE,character
taxonomy.latestRedListStatusFinland,red_list_status,taxonRedListStatus,FALSE,character
result.unit.sensitive,sensitive,sensitive,FALSE,logical
result.gathering.conversions.dayOfYearBegin,ordinal_day_start,startDayOfYear,FALSE,integer
result.gathering.conversions.dayOfYearEnd,ordinal_day_end,endDayOfYear,FALSE,integer
result.unit.det,determiner,identifiedBy,FALSE,character
result.unit.interpretations.individualCount,abundance_interpreted,individualCountInterpreted,FALSE,integer
result.unit.lifeStage,life_stage,lifeStage,FALSE,character
result.gathering.abundanceUnit,abundance_unit,abundanceUnit,FALSE,character
observation.form.sex,sex,sex,FALSE,character
observation.form.municipality,municipality,county,FALSE,character
result.gathering.conversions.wgs84CenterPoint.lat,lat_wgs84,decimalLatitude,FALSE,double
result.gathering.conversions.wgs84CenterPoint.lon,lon_wgs84,decimalLongitude,FALSE,double
result.gathering.conversions.eurefCenterPoint.lat,lat_euref,decimalLatitudeEUREF,FALSE,double
result.gathering.conversions.eurefCenterPoint.lon,lon_euref,decimalLongitudeEUREF,FALSE,double
result.gathering.interpretations.coordinateAccuracy,coordinates_uncertainty_interpreted,coordinateUncertaintyInMetersInterpreted,FALSE,integer
result.gathering.conversions.wgs84.latMin,lat_min_wgs84,decimalLatitudeMinWGS84,FALSE,double
result.gathering.conversions.wgs84.latMax,lat_max_wgs84,decimalLatitudeMaxWGS84,FALSE,double
result.gathering.conversions.wgs84.lonMin,lon_min_wgs84,decimalLongitudeMinWGS84,FALSE,double
result.gathering.conversions.wgs84.lonMax,lon_max_wgs84,decimalLongitudeMaxWGS84,FALSE,double
result.gathering.conversions.euref,coordinates_euref,decimalCoordinatesEUREF,FALSE,character
result.gathering.conversions.euref.latMin,lat_min_euref,decimalLatitudeMinEUREF,FALSE,double
result.gathering.conversions.euref.latMax,lat_max_euref,decimalLatitudeMaxEUREF,FALSE,double
result.gathering.conversions.euref.lonMin,lon_min_euref,decimalLongitudeMinEUREF,FALSE,double
result.gathering.conversions.euref.lonMax,lon_max_euref,decimalLongitudeMaxEUREF,FALSE,double
result.gathering.conversions.ykj.latMin,lat_min_ykj,decimalLatitudeMinYKJ,FALSE,double
result.gathering.conversions.ykj.latMax,lat_max_ykj,decimalLatitudeMaxYKJ,FALSE,double
result.gathering.conversions.ykj.lonMin,lon_min_ykj,decimalLongitudeMinYKJ,FALSE,double
result.gathering.conversions.ykj.lonMax,lon_max_ykj,decimalLongitudeMaxYKJ,FALSE,double
result.gathering.conversions.wgs84WKT,footprint_wgs84,footprintWKT,FALSE,character
result.gathering.conversions.ykj10kmCenter,coordinates_10_center_ykj,decimalCoordinatesGrid10CenterYKJ,FALSE,character
result.gathering.conversions.ykj10km,coordinates_10_ykj,decimalCoordinatesGrid10YKJ,FALSE,character
result.gathering.conversions.ykj1kmCenter,coordinates_1_center_ykj,decimalCoordinatesGrid1CenterYKJ,FALSE,character
result.gathering.conversions.ykj1km,coordinates_1_ykj,decimalCoordinatesGrid1YKJ,FALSE,character
result.unit.reportedTaxonConfidence,reported_taxon_confidence,identificationQualifer,FALSE,character
observation.filterBy.recordBasis,record_basis,basisOfRecord,FALSE,character
result.unit.notes,record_notes,occurrenceRemarks,FALSE,character
result.gathering.notes,event_notes,eventRemarks,FALSE,character
result.document.sourceId,source_id,sourceID,FALSE,character
result.document.secureLevel,restriction_level,documentInformationWithheld,FALSE,character
