finbif_api_var,translated_var,dwc,default_var,quality_var,type,class,single,select,order,aggregate,aggregate_events,aggregate_documents,doc,date,localised
unit.unitId,record_id,occurrenceID,TRUE,FALSE,character,uri,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
computed_var_citation,citation,bibliographicCitation,FALSE,FALSE,character,character,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
computed_var_scientific_name,scientific_name,scientificName,TRUE,FALSE,character,character,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
unit.linkings.taxon.scientificName,scientific_name_interpreted,scientificNameInterpreted,FALSE,FALSE,character,character,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
computed_var_abundance,abundance,individualCount,TRUE,FALSE,integer,integer,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
computed_var_occurrence_status,occurrence_status,occurrenceStatus,FALSE,FALSE,character,character,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unit.interpretations.individualCount,abundance_interpreted,individualCountInterpreted,FALSE,FALSE,integer,integer,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
gathering.conversions.wgs84CenterPoint.lat,lat_wgs84,decimalLatitude,TRUE,FALSE,double,double,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
gathering.conversions.wgs84CenterPoint.lon,lon_wgs84,decimalLongitude,TRUE,FALSE,double,double,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
computed_var_date_time,date_time,eventDateTime,TRUE,FALSE,double,date,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
computed_var_coordinates_uncertainty,coordinates_uncertainty,coordinateUncertaintyInMeters,TRUE,FALSE,integer,integer,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gathering.interpretations.coordinateAccuracy,coordinates_uncertainty_interpreted,coordinateAccuracy,FALSE,FALSE,integer,integer,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unit.quality.documentGatheringUnitQualityIssues,any_issues,hasIssues,TRUE,TRUE,logical,logical,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
unit.interpretations.needsCheck,requires_verification,requiresVerification,TRUE,TRUE,logical,logical,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
unit.interpretations.needsIdentification,requires_identification,requiresIdentification,TRUE,TRUE,logical,logical,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
unit.interpretations.reliability,record_reliability,occurrenceReliability,TRUE,TRUE,character,factor,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
unit.interpretations.recordQuality,record_quality,identificationVerificationStatus,TRUE,TRUE,character,factor,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
computed_var_duration,duration,samplingEffort,FALSE,FALSE,double,date,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
computed_var_date_time_ISO8601,date_time_ISO8601,eventDate,FALSE,FALSE,double,date,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
computed_var_epsg,epsg,geodeticDatum,FALSE,FALSE,character,character,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
computed_var_fp_epsg,footprint_epsg,footprintSRS,FALSE,FALSE,character,character,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unit.linkings.taxon.taxonRank,taxon_rank_id,taxonRankID,FALSE,FALSE,character,uri,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
computed_var_from_id_taxon_rank,taxon_rank,taxonRank,FALSE,FALSE,character,character,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
unit.abundanceString,abundance_verbatim,organismQuantity,FALSE,FALSE,character,character,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
gathering.interpretations.countryDisplayname,country_interpreted,countryInterpreted,FALSE,FALSE,character,character,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
gathering.interpretations.biogeographicalProvinceDisplayname,bio_province_interpreted,biogeographicalProvince,FALSE,FALSE,character,character,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
computed_var_from_id_finnish_municipality,finnish_municipality,finnishCounty,FALSE,FALSE,character,character,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
computed_var_municipality,municipality,county,FALSE,FALSE,character,character,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
computed_var_local_area,local_area,municipality,FALSE,FALSE,character,character,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
computed_var_region,region,stateProvince,FALSE,FALSE,character,character,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
gathering.conversions.wgs84WKT,footprint_wgs84,footprintWKT,FALSE,FALSE,character,character,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gathering.conversions.linelengthInMeters,line_length_m,lineLengthMeters,FALSE,FALSE,integer,integer,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
gathering.conversions.boundingBoxAreaInSquareMeters,area_m2,areaMetersSquared,FALSE,FALSE,integer,integer,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
gathering.eventDate.begin,date_start,eventDateStart,FALSE,FALSE,character,date,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
gathering.eventDate.end,date_end,eventDateEnd,FALSE,FALSE,character,date,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
gathering.hourBegin,hour_start,hourStart,FALSE,FALSE,integer,integer,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
gathering.hourEnd,hour_end,hourEnd,FALSE,FALSE,integer,integer,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
gathering.minutesBegin,minute_start,minuteStart,FALSE,FALSE,integer,integer,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
